State_Name,Year,Assembly_No,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Rel,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Andaman_&_Nicobar_Islands,2019,17,4,1,ANDAMAN & NICOBAR ISLANDS,65.09,45.98,General,318471,15,1,Male,INC,95308,KULDEEP RAI SHARMA,HINDUISM,0.68,VISHAL JOLLY,BJP,M,0.68,BJP,BISHNU PADA RAY,-1.82,-5.57,-3.42,INC
Andaman_&_Nicobar_Islands,2014,16,4,1,ANDAMAN & NICOBAR ISLANDS,70.66,47.8,General,269360,15,1,Male,BJP,90969,BISHNU PADA RAY,HINDUISM,4.1,KULDEEP RAI SHARMA,INC,M,0.82,BJP,SHRI. BISHNU PADA RAY,3.59,6.5,2.34,
Andaman_&_Nicobar_Islands,2009,15,4,1,ANDAMAN & NICOBAR ISLANDS,64.16,44.21,General,265108,11,1,Male,BJP,75211,SHRI. BISHNU PADA RAY,HINDUISM,1.76,SHRI. KULDEEP RAI SHARMA,INC,M,nan,INC,MANORANJAN BHAKTA,-11.56,0.5,-18.07,BJP
Andaman_&_Nicobar_Islands,2004,14,4,1,ANDAMAN & NICOBAR ISLANDS,63.66,55.77,General,241645,12,1,Male,INC,85794,MANORANJAN BHAKTA,HINDUISM,19.83,BISHNU PADA RAY,BJP,M,nan,BJP,Bishnu Pada Ray,3.03,4.73,10.26,INC
Andaman_&_Nicobar_Islands,1999,13,9,1,ANDAMAN & NICOBAR ISLANDS,58.93,52.74,General,247384,5,1,Male,BJP,76891,Bishnu Pada Ray,HINDUISM,9.57,Manoranjan Bhakta,INC,M,nan,INC,MANORANJAN BHAKTA,16.83,-3.93,9.2,BJP
Andaman_&_Nicobar_Islands,1998,12,3,1,ANDAMAN & NICOBAR ISLANDS,62.86,35.91,General,232013,6,1,Male,INC,52365,MANORANJAN BHAKTA,HINDUISM,0.37,BISHNU PADA RAY,BJP,M,nan,INC,MANORANJAN BHAKTA,-22.31,2.16,-33.59,
Andaman_&_Nicobar_Islands,1996,11,4,1,ANDAMAN & NICOBAR ISLANDS,60.7,58.22,General,211226,11,1,Male,INC,74642,MANORANJAN BHAKTA,HINDUISM,33.96,BISHNU PADA RAY,BJP,M,nan,INC,MANORANJAN BHAKTA,7.83,-2.76,27.72,
Andaman_&_Nicobar_Islands,1991,10,5,1,ANDAMAN & NICOBAR ISLANDS,63.46,50.39,General,169120,5,1,Male,INC,54075,MANORANJAN BHAKTA,HINDUISM,6.24,TAPAN BEPARI,CPM,M,nan,INC,MANORANJAN BHAKTA,3.18,-6.79,-10.49,
Andaman_&_Nicobar_Islands,1989,9,11,1,ANDAMAN & NICOBAR ISLANDS,70.25,47.21,General,160940,7,1,Male,INC,53383,MANORANJAN BHAKTA,HINDUISM,16.73,TAPAN BEPARI,CPM,M,nan,INC,MANORANJAN BHAKTA,-5.64,-6.74,-4.78,
Andaman_&_Nicobar_Islands,1984,8,12,1,ANDAMAN & NICOBAR ISLANDS,76.99,52.85,General,115565,6,1,Male,INC,47019,MANORANJAN BHAKTA,HINDUISM,21.51,K.KANDASWAMY,LKD,M,nan,INC(I),MANORANJAN BHAKTA,-0.44,-5.12,-11.48,INC
Andaman_&_Nicobar_Islands,1980,7,1,1,ANDAMAN & NICOBAR ISLANDS,82.11,53.29,General,96084,10,1,Male,INC(I),42046,MANORANJAN BHAKTA,HINDUISM,32.99,P.K.S. PRASAD,CPM,M,nan,INC,MANORANJAN BHAKTA,-5.16,11.11,16.1,INC(I)
Andaman_&_Nicobar_Islands,1977,6,3,1,ANDAMAN & NICOBAR ISLANDS,71,58.45,General,85308,2,1,Male,INC,35400,MANORANJAN BHAKTA,HINDUISM,16.89,K.R. GANESH,IND,M,nan,INC,K .R. GANESH,-3.03,0.46,-22.04,
Andaman_&_Nicobar_Islands,1971,5,3,1,A AND N ISLANDS,70.54,61.48,General,63122,5,1,Male,INC,27373,K .R. GANESH,HINDUISM,38.93,P. K. S. PRASAD,IND,M,nan,INC,K. R. GANESH,8.91,-7.51,11.6,
Andaman_&_Nicobar_Islands,1967,4,2,1,ANDAMAN NICOBAR,78.05,52.57,General,47064,6,1,Male,INC,19310,K. R. GANESH,HINDUISM,27.33,P. K. S. PRASAD,IND,M,nan,,,-47.43,-21.95,-72.67,
