Assembly_No,Party,Total_Seats_in_Assembly,Total_Votes_in_Assembly,Total_Votes_in_Contested_Seats,Total_Candidates,Winners,Deposits_Lost,Strike_Rate,Seat_Share,Vote_Share_in_Assembly,Vote_Share_in_Contested_Seats,position,State_Name,Year,Expanded_Party_Name
17,AAAP,1,207296,207296,1,0,1,0.0,0,1.37,1.37,2,Andaman_&_Nicobar_Islands,2019,AAM AADMI PARTY
17,AINHCP,1,207296,207296,1,0,1,0.0,0,0.1,0.1,3,Andaman_&_Nicobar_Islands,2019,
17,AITC,1,207296,207296,1,0,1,0.0,0,0.83,0.83,4,Andaman_&_Nicobar_Islands,2019,ALL INDIA TRINAMOOL CONGRESS
17,BJP,1,207296,207296,1,0,0,0.0,0,45.3,45.3,5,Andaman_&_Nicobar_Islands,2019,BHARATIYA JANATA PARTY
17,BSP,1,207296,207296,1,0,1,0.0,0,1.2,1.2,6,Andaman_&_Nicobar_Islands,2019,BAHUJAN SAMAJ PARTY
17,INC,1,207296,207296,1,1,0,100.0,100,45.98,45.98,1,Andaman_&_Nicobar_Islands,2019,INDIA NATIONAL CONGRESS
17,IND,1,207296,207296,9,0,9,0.0,0,4.54,4.54,7,Andaman_&_Nicobar_Islands,2019,INDEPENDENT
17,NOTA,1,207296,207296,1,0,0,0.0,0,0.68,0.68,8,Andaman_&_Nicobar_Islands,2019,
17,ACP,25,31612534,1217890,1,0,1,0.0,0,0,0.1,3,Andhra_Pradesh,2019,
17,AIFB,25,31612534,2533748,2,0,2,0.0,0,0.01,0.07,4,Andhra_Pradesh,2019,ALL INDIA FORWARD BLOC
17,AINPP,25,31612534,3852621,3,0,3,0.0,0,0.01,0.05,5,Andhra_Pradesh,2019,
17,ANC,25,31612534,2527335,2,0,2,0.0,0,0,0.06,6,Andhra_Pradesh,2019,
17,APoI,25,31612534,1250427,1,0,1,0.0,0,0.01,0.14,7,Andhra_Pradesh,2019,
17,ARPS,25,31612534,1313515,1,0,1,0.0,0,0,0.12,8,Andhra_Pradesh,2019,
17,AYSRCP,25,31612534,2527335,2,0,2,0.0,0,0.02,0.22,9,Andhra_Pradesh,2019,
17,AlPP,25,31612534,1266492,1,0,1,0.0,0,0,0.03,10,Andhra_Pradesh,2019,
17,BAHUMP,25,31612534,1244570,1,0,1,0.0,0,0,0.08,11,Andhra_Pradesh,2019,
17,BCUF,25,31612534,1299093,1,0,1,0.0,0,0,0.05,12,Andhra_Pradesh,2019,
17,BJP,25,31612534,30388180,24,0,24,0.0,0,0.96,1,13,Andhra_Pradesh,2019,BHARATIYA JANATA PARTY
17,BSP,25,31612534,3899479,3,0,3,0.0,0,0.26,2.14,14,Andhra_Pradesh,2019,BAHUJAN SAMAJ PARTY
17,CPI,25,31612534,2570548,2,0,2,0.0,0,0.08,1.03,15,Andhra_Pradesh,2019,COMMUNIST PART OF INDIA
17,CPI(ML)(L),25,31612534,2473146,2,0,2,0.0,0,0.01,0.18,16,Andhra_Pradesh,2019,COMMUNIST PARTY OF INDIA  (MARXIST-LENINIST)
17,CPIM,25,31612534,1351474,1,0,1,0.0,0,0.01,0.24,17,Andhra_Pradesh,2019,
17,CPM,25,31612534,2475363,2,0,2,0.0,0,0.12,1.53,18,Andhra_Pradesh,2019,COMMUNIST PARTY OF INDIA (MARXIST)
17,DABAP,25,31612534,1238491,1,0,1,0.0,0,0.01,0.36,19,Andhra_Pradesh,2019,
17,HMRD,25,31612534,1351474,1,0,1,0.0,0,0,0.03,20,Andhra_Pradesh,2019,
17,ILP(AP),25,31612534,1351474,1,0,1,0.0,0,0,0.08,21,Andhra_Pradesh,2019,
17,INC,25,31612534,31612534,25,0,25,0.0,0,1.29,1.29,22,Andhra_Pradesh,2019,INDIA NATIONAL CONGRESS
17,IND,25,31612534,31612534,99,0,99,0.0,0,0.78,0.78,23,Andhra_Pradesh,2019,INDEPENDENT
17,IPBP,25,31612534,5030712,4,0,4,0.0,0,0.02,0.14,24,Andhra_Pradesh,2019,
17,IUML,25,31612534,3939485,3,0,3,0.0,0,0.01,0.06,25,Andhra_Pradesh,2019,INDIAN UNION MUSLIM LEAGUE
17,JAJGP,25,31612534,8576819,7,0,7,0.0,0,0.04,0.13,26,Andhra_Pradesh,2019,
17,JPD,25,31612534,1313515,1,0,1,0.0,0,0,0.07,27,Andhra_Pradesh,2019,
17,JnP,25,31612534,21328630,17,0,14,0.0,0,5.79,8.58,28,Andhra_Pradesh,2019,
17,MCPI,25,31612534,1177738,1,0,1,0.0,0,0,0.05,29,Andhra_Pradesh,2019,
17,MPP,25,31612534,5098330,4,0,4,0.0,0,0.02,0.14,30,Andhra_Pradesh,2019,MAHABHARATH PEOPLE'S PARTY
