State_Name,Year,Assembly_No,month,Constituency_No,Constituency_Name,Constituency_Type,Candidate,Party,Votes,Position,Vote_Share_Percentage,Last_Position,Last_Candidate,Position_Change,Vote_Share_Change_pct
Andaman_&_Nicobar_Islands,2019,17,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,KULDEEP RAI SHARMA,INC,95308,1,45.98,2,KULDEEP RAI SHARMA,1,2.29
Andaman_&_Nicobar_Islands,2019,17,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,VISHAL JOLLY,BJP,93901,2,45.3,1,BISHNU PADA RAY,-1,-2.5
Andaman_&_Nicobar_Islands,2019,17,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,SANJAY MESHACK,AAAP,2839,4,1.37,3,SANJAY MESHACK,-1,-0.59
Andaman_&_Nicobar_Islands,2019,17,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,PRAKASH MINJ,BSP,2486,5,1.2,9,GOUR CHANDRA MAJUMDER,4,0.6
Andaman_&_Nicobar_Islands,2019,17,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,AYAN MANDAL,AITC,1721,6,0.83,4,ANITA MONDAL,-2,-0.37
Andaman_&_Nicobar_Islands,2019,17,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,NOTA,NOTA,1412,7,0.68,7,None of the Above,0,-0.14
Andaman_&_Nicobar_Islands,2019,17,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,C G SAJI KUMAR,AINHCP,212,16,0.1,,,,0.1
Andaman_&_Nicobar_Islands,2014,16,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,BISHNU PADA RAY,BJP,90969,1,47.8,1,SHRI. BISHNU PADA RAY,0,3.59
Andaman_&_Nicobar_Islands,2014,16,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,KULDEEP RAI SHARMA,INC,83157,2,43.69,2,SHRI. KULDEEP RAI SHARMA,0,1.23
Andaman_&_Nicobar_Islands,2014,16,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,SANJAY MESHACK,AAAP,3737,3,1.96,,,,1.96
Andaman_&_Nicobar_Islands,2014,16,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,ANITA MONDAL,AITC,2283,4,1.2,,,,1.2
Andaman_&_Nicobar_Islands,2014,16,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,K.G.DAS,CPM,1777,5,0.93,3,SHRI TAPAN KUMAR BEPARI,-2,-3.3
Andaman_&_Nicobar_Islands,2014,16,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,None of the Above,NOTA,1564,7,0.82,,,,0.82
Andaman_&_Nicobar_Islands,2014,16,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,R.S.UMA BHARATTHY,NCP,1151,8,0.6,5,SMTI. R. S. UMA BHARATTHY,-3,-2.16
Andaman_&_Nicobar_Islands,2014,16,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,GOUR CHANDRA MAJUMDER,BSP,1139,9,0.6,8,SHRI. M. S. MOHAN,-1,0.14
Andaman_&_Nicobar_Islands,2014,16,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,N K P NAIR,CPI(ML)(L),436,11,0.23,9,SHRI. N. K. P. NAIR,-2,-0.2
Andaman_&_Nicobar_Islands,2014,16,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,RAGHUBIR SINGH,SP,379,13,0.2,,,,0.2
Andaman_&_Nicobar_Islands,2014,16,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,A PANDIAN,AIFB,225,16,0.12,,,,0.12
Andaman_&_Nicobar_Islands,2009,15,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,SHRI. BISHNU PADA RAY,BJP,75211,1,44.21,2,BISHNU PADA RAY,1,8.26
Andaman_&_Nicobar_Islands,2009,15,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,SHRI. KULDEEP RAI SHARMA,INC,72221,2,42.46,1,MANORANJAN BHAKTA,-1,-13.31
Andaman_&_Nicobar_Islands,2009,15,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,SHRI TAPAN KUMAR BEPARI,CPM,7190,3,4.23,3,TAPAN KUMAR BEPARI,0,1.52
Andaman_&_Nicobar_Islands,2009,15,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,SHRI. P. R. GANESHAN,RJD,4916,4,2.89,,,,2.89
Andaman_&_Nicobar_Islands,2009,15,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,SMTI. R. S. UMA BHARATTHY,NCP,4696,5,2.76,4,R S UMA BHARATHY,-1,1.22
Andaman_&_Nicobar_Islands,2009,15,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,SHRI. PRADEEP KUMAR EKKA,JDP,1785,6,1.05,,,,1.05
Andaman_&_Nicobar_Islands,2009,15,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,SHRI. M. S. MOHAN,BSP,789,8,0.46,7,A K BISWAS,-1,-0.27
Andaman_&_Nicobar_Islands,2009,15,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,SHRI. N. K. P. NAIR,CPI(ML)(L),734,9,0.43,5,N K P NAIR,-4,-0.51
Andaman_&_Nicobar_Islands,2004,14,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,MANORANJAN BHAKTA,INC,85794,1,55.77,2,Manoranjan Bhakta,1,12.6
Andaman_&_Nicobar_Islands,2004,14,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,BISHNU PADA RAY,BJP,55294,2,35.95,1,Bishnu Pada Ray,-1,-16.79
Andaman_&_Nicobar_Islands,2004,14,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,TAPAN KUMAR BEPARI,CPM,4175,3,2.71,,,,2.71
Andaman_&_Nicobar_Islands,2004,14,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,R S UMA BHARATHY,NCP,2364,4,1.54,4,Uma Bharathi,0,0.84
Andaman_&_Nicobar_Islands,2004,14,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,N K P NAIR,CPI(ML)(L),1448,5,0.94,,,,0.94
Andaman_&_Nicobar_Islands,2004,14,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,A K BISWAS,BSP,1122,7,0.73,,,,0.73
Andaman_&_Nicobar_Islands,2004,14,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,DR SHANMUGAM,LJNSP,691,8,0.45,,,,0.45
Andaman_&_Nicobar_Islands,2004,14,4,1,ANDAMAN & NICOBAR ISLANDS,GEN,K PERUMAL,SWD,298,12,0.19,,,,0.19
Andaman_&_Nicobar_Islands,1999,13,9,1,ANDAMAN & NICOBAR ISLANDS,GEN,Bishnu Pada Ray,BJP,76891,1,52.74,2,BISHNU PADA RAY,1,17.21
Andaman_&_Nicobar_Islands,1999,13,9,1,ANDAMAN & NICOBAR ISLANDS,GEN,Manoranjan Bhakta,INC,62944,2,43.17,1,MANORANJAN BHAKTA,-1,7.26
Andaman_&_Nicobar_Islands,1999,13,9,1,ANDAMAN & NICOBAR ISLANDS,GEN,Uma Bharathi,NCP,1015,4,0.7,,,,0.7
Andaman_&_Nicobar_Islands,1998,12,3,1,ANDAMAN & NICOBAR ISLANDS,GEN,MANORANJAN BHAKTA,INC,52365,1,35.91,1,MANORANJAN BHAKTA,0,-22.31
Andaman_&_Nicobar_Islands,1998,12,3,1,ANDAMAN & NICOBAR ISLANDS,GEN,BISHNU PADA RAY,BJP,51821,2,35.53,2,BISHNU PADA RAY,0,11.28
Andaman_&_Nicobar_Islands,1998,12,3,1,ANDAMAN & NICOBAR ISLANDS,GEN,KULDEEP RAI SHARMA,ICS,29687,3,20.36,,,,20.36
