Year,Assembly_No,Party,Total_Cand,Winners,Deposit_Lost,Avg_Winning_Margin,Strike_Rate,position
2019,17,AAAP,35,1,30,0.28,2.86,35
2019,17,ADAL,2,2,0,13.21,100.0,1
2019,17,ADMK,22,1,0,0.3,4.55,32
2019,17,AIMIM,3,2,0,10.84,66.67,14
2019,17,AITC,62,22,20,4.24,35.48,18
2019,17,AIUDF,3,1,0,4.48,33.33,19
2019,17,AJSUP,1,1,0,22.44,100.0,2
2019,17,BJD,21,12,0,5.55,57.14,16
2019,17,BJP,436,303,51,14.02,69.5,13
2019,17,BSP,383,10,345,0.22,2.61,36
2019,17,CPI,49,2,41,0.6,4.08,34
2019,17,CPM,69,3,51,0.42,4.35,33
2019,17,DMK,24,24,0,24.4,100.0,3
2019,17,INC,421,52,148,1.39,12.35,26
2019,17,IND,3460,4,3448,0.01,0.12,37
2019,17,IUML,9,3,6,6.23,33.33,20
2019,17,JD(S),9,1,2,1.23,11.11,28
2019,17,JD(U),25,16,8,12.83,64.0,15
2019,17,JKN,3,3,0,16.49,100.0,4
2019,17,JMM,13,1,9,0.73,7.69,31
2019,17,KEC(M),1,1,0,11.67,100.0,5
2019,17,LJP,6,6,0,22.29,100.0,6
2019,17,MNF,1,1,0,1.63,100.0,7
2019,17,NCP,34,5,14,0.96,14.71,24
2019,17,NDPP,1,1,0,1.62,100.0,8
2019,17,NPEP,11,1,10,1,9.09,30
2019,17,NPF,1,1,0,8.6,100.0,9
2019,17,RLTP,1,1,0,15.07,100.0,10
2019,17,RSP,6,1,5,2.56,16.67,23
2019,17,SAD,10,2,0,1.88,20.0,21
2019,17,SHS,98,18,75,3.19,18.37,22
2019,17,SKM,1,1,0,3.53,100.0,11
2019,17,SP,49,5,13,1.38,10.2,29
2019,17,TDP,25,3,0,0.06,12.0,27
2019,17,TRS,17,9,1,7.57,52.94,17
2019,17,VCK,7,1,6,0.04,14.29,25
2019,17,YSRCP,25,22,0,9.62,88.0,12
2014,16,AAAP,432,4,414,0.1,0.93,35
2014,16,AD,7,2,5,5.79,28.57,16
2014,16,ADMK,40,37,0,15.25,92.5,5
2014,16,AIMIM,5,1,4,4.17,20.0,19
2014,16,AINRC,1,1,0,8.22,100.0,1
2014,16,AITC,131,34,88,3.24,25.95,17
2014,16,AIUDF,18,3,13,1.77,16.67,21
2014,16,BJD,21,20,0,14.93,95.24,4
2014,16,BJP,428,282,62,11.89,65.89,8
2014,16,BLSP,4,3,1,8.74,75.0,7
2014,16,CPI,67,1,57,0.06,1.49,34
2014,16,CPM,93,9,50,1.34,9.68,27
2014,16,INC,464,44,178,0.76,9.48,29
2014,16,IND,3234,3,3218,0.01,0.09,36
2014,16,INLD,10,2,4,1.18,20.0,20
2014,16,IUML,25,2,22,1.03,8.0,30
2014,16,JD(S),34,2,25,0.27,5.88,31
2014,16,JD(U),93,2,79,0.13,2.15,33
2014,16,JKPDP,5,3,2,7.45,60.0,10
2014,16,JMM,21,2,18,0.41,9.52,28
2014,16,KEC(M),1,1,0,14.5,100.0,2
2014,16,LJP,7,6,0,9.71,85.71,6
2014,16,NCP,36,6,13,1.79,16.67,22
2014,16,NPEP,7,1,5,1.24,14.29,24
2014,16,NPF,2,1,0,19.26,50.0,12
2014,16,PMK,9,1,4,0.78,11.11,26
2014,16,RJD,29,4,2,0.78,13.79,25
2014,16,RSP,6,1,1,0.71,16.67,23
2014,16,SAD,10,4,0,1.63,40.0,14
2014,16,SDF,1,1,0,13.51,100.0,3
2014,16,SHS,58,18,38,5.44,31.03,15
2014,16,SP,197,5,140,0.36,2.54,32
2014,16,SWP,2,1,0,7.48,50.0,13
2014,16,TDP,30,16,3,3.44,53.33,11
2014,16,TRS,17,11,3,10.04,64.71,9
2014,16,YSRCP,38,9,12,1.59,23.68,18
2009,15,ADMK,23,9,0,1.84,39.13,15
2009,15,AGP,6,1,0,0.6,16.67,24
2009,15,AIFB,22,2,19,0.23,9.09,30
2009,15,AIMIM,1,1,0,15.57,100.0,1
2009,15,AITC,35,19,8,5.24,54.29,11
2009,15,AUDF,25,1,18,0.7,4.0,37
2009,15,BJD,18,14,0,13.92,77.78,9
2009,15,BJP,433,116,170,2.4,26.79,18
2009,15,BOPF,2,1,1,9.38,50.0,12
2009,15,BSP,500,21,410,0.19,4.2,36
2009,15,BVA,1,1,0,1.69,100.0,2
2009,15,CPI,56,4,41,0.53,7.14,33
2009,15,CPM,82,16,29,2.37,19.51,22
2009,15,DMK,22,18,0,8.94,81.82,8
2009,15,HJCBL,10,1,8,0.08,10.0,29
2009,15,INC,440,206,71,4.5,46.82,13
2009,15,IND,3831,9,3806,0.02,0.23,38
2009,15,JD(S),33,3,23,1.33,9.09,31
2009,15,JD(U),55,20,31,5.09,36.36,16
2009,15,JKN,3,3,0,9.01,100.0,3
2009,15,JMM,42,2,36,0.16,4.76,35
2009,15,JVM,16,1,13,0.39,6.25,34
2009,15,KEC(M),1,1,0,8.86,100.0,4
2009,15,MDMK,4,1,0,1.61,25.0,19
2009,15,MUL,17,2,15,1.5,11.76,27
2009,15,NCP,68,9,42,2.31,13.24,25
2009,15,NPF,1,1,0,40.6,100.0,5
2009,15,RJD,44,4,16,0.3,9.09,32
2009,15,RLD,9,5,2,6.26,55.56,10
2009,15,RSP,17,2,13,0.74,11.76,28
2009,15,SAD,10,4,0,2.38,40.0,14
2009,15,SDF,1,1,0,33.71,100.0,6
2009,15,SHS,47,11,26,2.46,23.4,20
2009,15,SP,193,23,134,1.04,11.92,26
2009,15,SWP,1,1,0,9.72,100.0,7
2009,15,TDP,31,6,2,0.97,19.35,23
2009,15,TRS,9,2,1,0.31,22.22,21
2009,15,VCK,3,1,1,3.8,33.33,17
2004,14,AGP,12,2,4,0.54,16.67,26
2004,14,AIFB,10,3,7,4.58,30.0,20
2004,14,AIMIM,2,1,1,5.08,50.0,13
2004,14,AITC,33,2,7,1.09,6.06,36
2004,14,BJD,12,11,0,9.42,91.67,8
2004,14,BJP,364,138,57,4.04,37.91,15
2004,14,BNP,4,1,3,3.8,25.0,23
2004,14,BSP,435,19,358,0.24,4.37,38
2004,14,CPI,34,10,19,4.34,29.41,21
2004,14,CPM,69,43,15,11.78,62.32,10
2004,14,DMK,16,16,0,22.74,100.0,1
2004,14,IFDP,1,1,0,0.07,100.0,2
2004,14,INC,417,145,82,4.13,34.77,16
2004,14,IND,2385,5,2370,0.04,0.21,39
2004,14,JD(S),43,3,24,0.8,6.98,35
2004,14,JD(U),73,8,44,0.6,10.96,30
2004,14,JKN,6,2,2,2.47,33.33,17
2004,14,JKPDP,3,1,0,8.64,33.33,18
2004,14,JMM,9,5,3,6.06,55.56,12
2004,14,KEC,1,1,0,9.51,100.0,3
2004,14,LJNSP,40,4,32,1.66,10.0,31
2004,14,MDMK,4,4,0,22.69,100.0,4
2004,14,MNF,1,1,0,6.8,100.0,5
2004,14,MUL,10,1,8,1.41,10.0,32
2004,14,NCP,32,9,10,3.45,28.12,22
2004,14,NLP,18,1,17,0.06,5.56,37
2004,14,NPF,3,1,2,15.78,33.33,19
2004,14,PMK,6,6,0,16.97,100.0,6
2004,14,RJD,42,24,14,6.39,57.14,11
2004,14,RLD,32,3,23,2.72,9.38,34
2004,14,RPI(A),7,1,6,2.07,14.29,29
2004,14,RSP,6,3,2,8.92,50.0,14
2004,14,SAD,10,8,0,5.72,80.0,9
2004,14,SDF,1,1,0,42.41,100.0,7
2004,14,SHS,56,12,34,1.73,21.43,25
2004,14,SJP(R),10,1,9,1.31,10.0,33
2004,14,SP,237,36,169,1.48,15.19,27
2004,14,TDP,33,5,0,0.88,15.15,28
2004,14,TRS,22,5,17,2.81,22.73,24
1999,13,ABLTC,4,2,0,4.01,50.0,17
1999,13,ADMK,29,10,5,1.2,34.48,22
1999,13,AIMIM,1,1,0,5.61,100.0,1
1999,13,AITC,29,8,2,2.79,27.59,23
