Assembly_No,Party_ID,MyNeta_education,MLAs_var_Party,Party_MLAs,Year,Party,pty_mla_var_perc,State_Name
17,3482,Graduate Professional,1,1,2019,INC,100,Andaman_&_Nicobar_Islands
17,8300,10th Pass,1,3,2019,TDP,33.33,Andhra_Pradesh
17,8300,Graduate,1,3,2019,TDP,33.33,Andhra_Pradesh
17,8300,Post Graduate,1,3,2019,TDP,33.33,Andhra_Pradesh
17,8615,10th Pass,1,22,2019,YSRCP,4.55,Andhra_Pradesh
17,8615,12th Pass,1,22,2019,YSRCP,4.55,Andhra_Pradesh
17,8615,8th Pass,1,22,2019,YSRCP,4.55,Andhra_Pradesh
17,8615,Doctorate,1,22,2019,YSRCP,4.55,Andhra_Pradesh
17,8615,Graduate,5,22,2019,YSRCP,22.73,Andhra_Pradesh
17,8615,Graduate Professional,5,22,2019,YSRCP,22.73,Andhra_Pradesh
17,8615,Post Graduate,8,22,2019,YSRCP,36.36,Andhra_Pradesh
17,1605,Graduate Professional,1,2,2019,BJP,50,Arunachal_Pradesh
17,1605,Post Graduate,1,2,2019,BJP,50,Arunachal_Pradesh
17,795,Post Graduate,1,1,2019,AIUDF,100,Assam
17,1605,10th Pass,1,9,2019,BJP,11.11,Assam
17,1605,12th Pass,1,9,2019,BJP,11.11,Assam
17,1605,Graduate,5,9,2019,BJP,55.56,Assam
17,1605,Post Graduate,2,9,2019,BJP,22.22,Assam
17,3482,Post Graduate,3,3,2019,INC,100,Assam
17,10809,12th Pass,1,1,2019,IND,100,Assam
17,1605,10th Pass,1,17,2019,BJP,5.88,Bihar
17,1605,Doctorate,1,17,2019,BJP,5.88,Bihar
17,1605,Graduate,7,17,2019,BJP,41.18,Bihar
17,1605,Graduate Professional,2,17,2019,BJP,11.76,Bihar
17,1605,Post Graduate,5,17,2019,BJP,29.41,Bihar
17,1605,Unknown,1,17,2019,BJP,5.88,Bihar
17,3482,Graduate Professional,1,1,2019,INC,100,Bihar
17,11002,10th Pass,3,16,2019,JD(U),18.75,Bihar
17,11002,12th Pass,3,16,2019,JD(U),18.75,Bihar
17,11002,8th Pass,2,16,2019,JD(U),12.5,Bihar
17,11002,Graduate,4,16,2019,JD(U),25,Bihar
17,11002,Graduate Professional,1,16,2019,JD(U),6.25,Bihar
17,11002,Post Graduate,3,16,2019,JD(U),18.75,Bihar
17,5029,10th Pass,2,6,2019,LJP,33.33,Bihar
17,5029,Graduate,2,6,2019,LJP,33.33,Bihar
17,5029,Graduate Professional,2,6,2019,LJP,33.33,Bihar
17,1605,Post Graduate,1,1,2019,BJP,100,Chandigarh
17,1605,12th Pass,2,9,2019,BJP,22.22,Chhattisgarh
17,1605,Graduate,3,9,2019,BJP,33.33,Chhattisgarh
17,1605,Graduate Professional,3,9,2019,BJP,33.33,Chhattisgarh
17,1605,Post Graduate,1,9,2019,BJP,11.11,Chhattisgarh
17,3482,Post Graduate,2,2,2019,INC,100,Chhattisgarh
17,10809,Graduate,1,1,2019,IND,100,Dadra_&_Nagar_Haveli
17,1605,8th Pass,1,1,2019,BJP,100,Daman_&_Diu
17,1605,10th Pass,1,7,2019,BJP,14.29,Delhi
17,1605,12th Pass,1,7,2019,BJP,14.29,Delhi
17,1605,Graduate Professional,2,7,2019,BJP,28.57,Delhi
17,1605,Post Graduate,3,7,2019,BJP,42.86,Delhi
17,1605,Graduate,1,1,2019,BJP,100,Goa
17,3482,Graduate Professional,1,1,2019,INC,100,Goa
17,1605,10th Pass,2,26,2019,BJP,7.69,Gujarat
17,1605,12th Pass,6,26,2019,BJP,23.08,Gujarat
17,1605,8th Pass,2,26,2019,BJP,7.69,Gujarat
17,1605,Graduate,3,26,2019,BJP,11.54,Gujarat
17,1605,Graduate Professional,5,26,2019,BJP,19.23,Gujarat
17,1605,Others,4,26,2019,BJP,15.38,Gujarat
17,1605,Post Graduate,4,26,2019,BJP,15.38,Gujarat
17,1605,Graduate,2,10,2019,BJP,20,Haryana
17,1605,Graduate Professional,4,10,2019,BJP,40,Haryana
17,1605,Post Graduate,4,10,2019,BJP,40,Haryana
17,1605,10th Pass,1,4,2019,BJP,25,Himachal_Pradesh
17,1605,12th Pass,1,4,2019,BJP,25,Himachal_Pradesh
17,1605,Graduate,1,4,2019,BJP,25,Himachal_Pradesh
17,1605,Post Graduate,1,4,2019,BJP,25,Himachal_Pradesh
17,1605,10th Pass,1,3,2019,BJP,33.33,Jammu_&_Kashmir
17,1605,Graduate,1,3,2019,BJP,33.33,Jammu_&_Kashmir
17,1605,Post Graduate,1,3,2019,BJP,33.33,Jammu_&_Kashmir
17,11089,Graduate Professional,2,3,2019,JKN,66.67,Jammu_&_Kashmir
17,11089,Post Graduate,1,3,2019,JKN,33.33,Jammu_&_Kashmir
17,8958,Graduate,1,1,2019,AJSUP,100,Jharkhand
17,1605,12th Pass,3,11,2019,BJP,27.27,Jharkhand
