Assembly_No,Total_Candidates,No_Incumbents,Successful_Incumbents,Total_Seats,Turncoats,Successful_Turncoats,No_Recontests,First_contests,Second_contests,Multiple_contests,No_first_time_winners,First_Contest_winners,Year,Party_ID,pty_Total_Candidates,pty_Incumbents,pty_Turncoats,pty_Recontests,pty_First_contests,pty_Second_contests,pty_Multiple_contests,pty_first_time_winners,pty_First_Contest_winners,pty_Successful_Incumbents,pty_Successful_Turncoats,Party,pty_recontests_pct,Color,pty_incm_recontests_pct,hover_pty_incm_recontests_pct,pty_incm_Strike_Rate,hover_pty_incm_Strike_Rate,pty_turn_Strike_Rate,hover_pty_turn_Strike_Rate,pty_fist_time_winners_pct,State_Name
17,15,0,0,1,0,0,5,10,3,2,1,0,2019,13,1,0,0,1,0,1,0,0,0,0,0,AAAP,20,#87CEEB,nan,0 (nan%),nan,nan% (0/0),nan,nan% (0/0),0,Andaman_&_Nicobar_Islands
17,15,0,0,1,0,0,5,10,3,2,1,0,2019,662,1,0,0,1,0,1,0,0,0,0,0,AINHCP,20,,nan,0 (nan%),nan,nan% (0/0),nan,nan% (0/0),0,Andaman_&_Nicobar_Islands
17,15,0,0,1,0,0,5,10,3,2,1,0,2019,18228,1,0,0,0,1,0,0,0,0,0,0,AITC,0,#4285F4,nan,0 (nan%),nan,nan% (0/0),nan,nan% (0/0),0,Andaman_&_Nicobar_Islands
17,15,0,0,1,0,0,5,10,3,2,1,0,2019,1605,1,0,0,0,1,0,0,0,0,0,0,BJP,0,#ff9933,nan,0 (nan%),nan,nan% (0/0),nan,nan% (0/0),0,Andaman_&_Nicobar_Islands
17,15,0,0,1,0,0,5,10,3,2,1,0,2019,16651,1,0,0,0,1,0,0,0,0,0,0,BSP,0,#003399,nan,0 (nan%),nan,nan% (0/0),nan,nan% (0/0),0,Andaman_&_Nicobar_Islands
17,15,0,0,1,0,0,5,10,3,2,1,0,2019,3482,1,0,0,1,0,0,1,1,0,0,0,INC,20,#138808,nan,0 (nan%),nan,nan% (0/0),nan,nan% (0/0),100,Andaman_&_Nicobar_Islands
17,15,0,0,1,0,0,5,10,3,2,1,0,2019,10809,9,0,0,2,7,1,1,0,0,0,0,IND,40,#808080,nan,0 (nan%),nan,nan% (0/0),nan,nan% (0/0),0,Andaman_&_Nicobar_Islands
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,17074,1,0,0,0,1,0,0,0,0,0,0,ACP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,3040,2,0,0,0,2,0,0,0,0,0,0,AIFB,0,#DA0000,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
17,319,12,4,25,9,2,22,289,15,15,19,18,2019,18180,3,0,0,0,3,0,0,0,0,0,0,AINPP,0,,0,0 (0.0%),nan,nan% (0/0),nan,nan% (0/0),0,Andhra_Pradesh
