"Party","Year","Assembly_No","partyvotes","totalvotes","Vote_Share_Percentage","position"
"AC",1998,12,172496,328764,52.47,12
"AC",1999,13,70760,235319,30.07,35
"AC",2004,14,76527,221554,34.54,32
"AC",2009,15,46539,214932,21.65,59
"ADAL",2019,17,1039478,2097252,49.56,23
"ADC",1991,10,139785,296680,47.12,29
"ADK",1977,6,5480378,9269377,59.12,11
"ADK",1980,7,4674064,11390100,41.04,39
"ADK",1984,8,3968967,6768660,58.64,2
"ADK",1989,9,4518649,7525093,60.05,1
"ADK",1991,10,4470542,7168558,62.36,7
"ADMK",1996,11,2130286,7242831,29.41,18
"ADMK",1998,12,6731550,14341376,46.94,6
"ADMK",1999,13,7046953,20541998,34.31,23
"ADMK",2004,14,8547014,24011938,35.59,31
"ADMK",2009,15,6953591,17798039,39.07,12
"ADMK",2014,16,18111579,41347166,43.8,11
"ADMK",2019,17,8307345,24668103,33.68,14
"ADS",1967,4,968712,2670118,36.28,18
"AHL",1967,4,112492,183311,61.37,1
"AHL",1971,5,90772,177140,51.24,8
"AHL",1980,7,13058,110760,11.79,34
"AJSUP",2009,15,200523,3989785,5.03,54
"AJSUP",2014,16,488719,9660070,5.06,82
"AJSUP",2019,17,648277,1106918,58.57,2
"ASDC",1996,11,180112,341907,52.68,7
"ASDC",1998,12,184241,391326,47.08,13
"ASDC",2004,14,101808,401377,25.36,19
"ASDC",2009,15,123287,480556,25.66,18
"ASDC",2019,17,36915,617735,5.98,80
"BAC",1967,4,1204356,2284743,52.71,3
"BAC",1971,5,518781,4652702,11.15,30
"BJD",1998,12,3669825,7687572,47.74,2
"BJD",1999,13,4378536,7515882,58.26,12
"BJD",2004,14,5082849,9937831,51.15,11
"BJD",2009,15,6612552,15119667,43.73,20
"BJD",2014,16,9489946,21528883,44.08,9
"BJD",2019,17,10174021,23794122,42.76,13
"BJP",1984,8,18202853,94986227,19.16,20
"BJP",1985,8,263284,2698476,9.76,22
"BJP",1989,9,34171477,126720682,26.97,27
"BJP",1991,10,55345075,246279664,22.47,41
"BJP",1992,10,497999,2442739,20.39,62
"BJP",1996,11,67950851,290547187,23.39,57
"BJP",1998,12,94266188,260234070,36.22,19
"BJP",1999,13,86562209,218990146,39.53,11
"BJP",2004,14,86371561,251165775,34.39,15
"BJP",2009,15,78435381,335137583,23.4,56
"BJP",2014,16,171660230,433585645,39.59,14
"BJP",2019,17,229076879,496499273,46.14,8
"BLD",1977,6,78062828,137989503,56.57,5
"BSP",1980,7,39399,6058238,0.65,32
"BSP",1989,9,6213390,137086210,4.53,33
"BSP",1991,10,4420719,121499864,3.64,27
"BSP",1992,10,594628,2780055,21.39,21
"BSP",1996,11,13453235,120047967,11.21,35
"BSP",1998,12,17186779,174657092,9.84,48
"BSP",1999,13,15175845,152196379,9.97,71
"BSP",2004,14,20765229,312016649,6.66,26
"BSP",2009,15,25728920,387953037,6.63,26
"BSP",2014,16,22946346,518857849,4.42,29
"BSP",2019,17,22246501,440672041,5.05,41
"CPI",1962,3,11450037,35336615,32.4,51
"CPI",1967,4,7458396,31952354,23.34,21
"CPI",1971,5,6933627,25596853,27.09,20
"CPI",1977,6,5322088,33283617,15.99,22
"CPI",1980,7,4927342,18032271,27.33,17
"CPI",1984,8,6363430,26571707,23.95,25
"CPI",1985,8,369687,2886662,12.81,23
"CPI",1989,9,7734697,27602292,28.02,19
"CPI",1991,10,6851114,22580028,30.34,25
"CPI",1992,10,47226,131544,35.9,13
"CPI",1996,11,6582263,26406141,24.93,39
"CPI",1998,12,6429569,39064582,16.46,65
"CPI",1999,13,5395119,35352347,15.26,32
"CPI",2004,14,5484111,23138702,23.7,40
"CPI",2009,15,5951888,41711107,14.27,66
"CPI",2014,16,4327460,65647301,6.59,27
"CPI",2019,17,3576184,54988254,6.5,32
"CPM",1967,4,6246522,18464436,33.83,14
"CPM",1971,5,7510089,27586770,27.22,26
"CPM",1977,6,8113659,19708193,41.17,11
